Wonjong Song and Junan Lee and Nayeon Cho and Jinwook Burm,An Ultralow Power Time-Domain Temperature Sensor With Time-Domain Delta–Sigma TDC,2017
Youngjae Jung and Quanzhen Duan and Jeongjin Roh,A 17.4-b Delta-Sigma Capacitance-to-Digital Converter for One-Terminal Capacitive Sensors,2017
Roohie Kaushik and Shouri Chatterjee and G. S. Visweswaran,Charge-Controlled Oscillators and Their Application in Frequency Synthesis,2017
Sang-Geun Bae and Gyungmin Kim and Chulwoo Kim,A 5-GHz Subsampling PLL-Based Spread-Spectrum Clock Generator by Calibrating the Frequency Deviation,2017
Miao Meng and Mehdi Kiani,A Hybrid Inductive-Ultrasonic Link for Wireless Power Transmission to Millimeter-Sized Biomedical Implants,2017
Hua Fan and Franco Maloberti,High-Resolution SAR ADC With Enhanced Linearity,2017
Seong Jin Yun and Jeong Seok Yun and Yong Sin Kim,Capless LDO Regulator Achieving −76 dB PSR and 96.3 fs FOM,2017
Md Tanvir Rahman and Torsten Lehmann,A Self-Calibrated Cryogenic Current Cell for 4.2 K Current Steering D/A Converters,2017
Dries Vercaemer and Johan Raman and Pieter Rombouts,Passive Loop Filter Assistance for CTSDMs,2017
Dmitry Osipov and Steffen Paul,Temperature-Compensated $\beta$ -Multiplier Current Reference Circuit,2017
Robert W. Jackson,Selective Sampling Versus Attenuation for Interference Mitigation in Broadband Receivers,2017
Joshua H. Kim and Ali Tazarv and Michael M. Green,Fast Startup of LC VCOs Using Circuit Asymmetries,2017
Haoyu Qian and Jose Silva-Martinez,Multitone ACLR and Its Applications to Linear PA Design,2017
Wenjie Feng and Xin Gao and Wenquan Che and Wanchen Yang and Quan Xue,High Selectivity Wideband Balanced Filters With Multiple Transmission Zeros,2017
Xiangdong Liu and Yin Yu and Zhen Li and Herbert H. C. Iu and Tyrone Fernando,An Efficient Algorithm for Optimally Reshaping the TP Model Transformation,2017
Huifen Hong and Wenwu Yu and Xinghuo Yu and Guanghui Wen and Ahmed Alsaedi,Fixed-Time Connectivity-Preserving Distributed Average Tracking for Multiagent Systems,2017
Xiaoqiang Guo,A Novel CH5 Inverter for Single-Phase Transformerless Photovoltaic System Applications,2017
Ahmed Saeed and Sameh Ibrahim and Hani Fikry Ragai,A Sizing Methodology for Rise-Time Minimization of Dickson Charge Pumps With Capacitive Loads,2017
Jungtaek You and Junyoung Song and Chulwoo Kim,A 2-Gb/s/ch Data-Dependent Swing-Limited On-Chip Signaling for Single-Ended Global I/O in SDRAM,2017
Xin Lou and Pramod Kumar Meher and Yajun Yu and Wenbin Ye,Novel Structure for Area-Efficient Implementation of FIR Filters,2017
Shayan Moini and Bijan Alizadeh and Mohammad Emad and Reza Ebrahimpour,A Resource-Limited Hardware Accelerator for Convolutional Neural Networks in Embedded Vision Applications,2017
Pengchun Rao and Xiang Li and Maciej J. Ogorzalek,Stability of Synchronous Solutions in a Directed Kuramoto-Oscillator Network With a Pacemaker,2017
Jessica Chani-Cahuana and Mustafa Özen and Christian Fager and Thomas Eriksson,Digital Predistortion Parameter Identification for RF Power Amplifiers Using Real-Valued Output Data,2017
Quanyi Liang and Zhikun She and Lei Wang and Housheng Su,General Lyapunov Functions for Consensus of Nonlinear Multiagent Systems,2017
Shiyuan Wang and Wanli Wang and Shukai Duan and Lidan Wang,Kernel Recursive Least Squares With Multiple Feedback and Its Convergence Analysis,2017
Djuro Zrilic and Grozdan Petrovic and Wei Tang,Novel Solutions of a Delta–Sigma-Based Rectifying Encoder,2017
Fuyi Huang and Jiashu Zhang and Sheng Zhang,Adaptive Filtering Under a Variable Kernel Width Maximum Correntropy Criterion,2017
Fuyi Huang and Jiashu Zhang and Sheng Zhang,Maximum Versoria Criterion-Based Robust Adaptive Filtering Algorithm,2017
Yuming Zhuang and Degang Chen,Accurate Spectral Testing With Non-Coherent Sampling for Multi-Tone Test,2017
Robert Giterman and Adam Teman and Pascal Meinerzhagen,Hybrid GC-eDRAM/SRAM Bitcell for Robust Low-Power Operation,2017
Luke Wang and Marc-Andre LaCroix and Anthony Chan Carusone,A 4-GS/s Single Channel Reconfigurable Folding Flash ADC for Wireline Applications in 16-nm FinFET,2017
Fairus Tahar and Adel Barakat and Redzuan Saad and Kuniaki Yoshitomi and Ramesh K. Pokharel,Dual-Band Defected Ground Structures Wireless Power Transfer System With Independent External and Inter-Resonator Coupling,2017
Haram Ju and Moon-Chul Choi and Gyu-Seob Jeong and Woorham Bae and Deog-Kyoon Jeong,A 28 Gb/s 1.6 pJ/b PAM-4 Transmitter Using Fractionally Spaced 3-Tap FFE and $G_{m}$ -Regulated Resistive-Feedback Driver,2017
Yi Xie and Siyu Liao and Bo Yuan and Yanzhi Wang and Zhongfeng Wang,Fully-Parallel Area-Efficient Deep Neural Network Design Using Stochastic Computing,2017
Gain Kim and Chen Cao and Kiarash Gharibdoust and Armin Tajalli and Yusuf Leblebici,A Time-Division Multiplexing Signaling Scheme for Inter-Symbol/Channel Interference Reduction in Low-Power Multi-Drop Memory Links,2017
Jiawei Zheng and Wing-Hung Ki and Langyu Hu and Chi-Ying Tsui,Chopper Capacitively Coupled Instrumentation Amplifier Capable of Handling Large Electrode Offset for Biopotential Recordings,2017
Gustavo Botelho de Souza and Daniel Felipe da Silva Santos and Rafael Gonçalves Pires and Aparecido Nilceu Marana and João Paulo Papa,Deep Texture Features for Robust Face Spoofing Detection,2017
Jason K. Eshraghian and Kyoung-Rok Cho and Herbert H. C. Iu and Tyrone Fernando and Nicolangelo Iannella and Sung-Mo Kang and Kamran Eshraghian,Maximization of Crossbar Array Memory Using Fundamental Memristor Theory,2017
Ming-Che Yang and Kuan-Ling Liu and Shao-Yi Chien,A Real-Time FHD Learning-Based Super-Resolution System Without a Frame Buffer,2017
Jonathon Edstrom and Yifu Gong and Dongliang Chen and Jinhui Wang and Na Gong,Data-Driven Intelligent Efficient Synaptic Storage for Deep Learning,2017
Jun-Eun Park and Young-Ha Hwang and Deog-Kyoon Jeong,A 0.4-to-1 V Voltage Scalable $\Delta \Sigma $ ADC With Two-Step Hybrid Integrator for IoT Sensor Applications in 65-nm LP CMOS,2017
Robin Bolt and Michele Magno and Thomas Burger and Aldo Romani and Luca Benini,Kinetic AC/DC Converter for Electromagnetic Energy Harvesting in Autonomous Wearable Devices,2017
Fatemeh Akbar and Amir Mortazawi,A Frequency Tunable 360° Analog CMOS Phase Shifter With an Adjustable Amplitude,2017
Kwanseo Park and Jinhyung Lee and Kwangho Lee and Min-Seong Choo and Sungchun Jang and Sang-Hyeok Chu and Sungwoo Kim and Deog-Kyoon Jeong,A 55.1 mW 1.62-to-8.1 Gb/s Video Interface Receiver Generating up to 680 MHz Stream Clock Over 20 dB Loss Channel,2017
Dong Huang and Lei Zhang and Di Li and Li Zhang and Yan Wang and Zhiping Yu,A 60-GHz 360° 5-Bit Phase Shifter With Constant IL Compensation Followed by a Normal Amplifier With ±1 dB Gain Variation and 0.6-dBm OP $_{\mathrm{ -1dB}}$,2017
Wen Ju Liu and Shao Yong Zheng and Yong Mei Pan and Yuan Xin Li and Yun Liang Long,A Wideband Tunable Reflection-Type Phase Shifter With Wide Relative Phase Shift,2017
Fábio Rabuske and Taimur Rabuske and Jorge Fernandes,A 5-bit 300–900-MS/s 0.8–1.2-V Supply Voltage ADC With Background Self-Calibration,2017
Sangjin Byun,Analysis and Verification of DLL-Based GFSK Demodulator Using Multiple-IF-Period Delay Line,2017
Boris Vaisband and Eby G. Friedman,Hexagonal TSV Bundle Topology for 3-D ICs,2017
F. N. U. Juanda and Wei Shu and Joseph S. Chang,A 10-GS/s 4-Bit Single-Core Digital-to-Analog Converter for Cognitive Ultrawidebands,2017
Bo Yuan and Keshab K. Parhi,LLR-Based Successive-Cancellation List Decoder for Polar Codes With Multibit Decision,2017
Cang Liu and Zuocheng Xing and Luechao Yuan and Chuan Tang and Yang Zhang,A Novel Architecture to Eliminate Bottlenecks in a Parallel Tiled QRD Algorithm for Future MIMO Systems,2017
Georges Kaddoum and Navid Tadayon,Differential Chaos Shift Keying: A Robust Modulation Scheme for Power-Line Communications,2017
Chao Chen and Jianhui Wu,A 1.2-V Self-Reconfigurable Recursive Mixer With Improved IF Linearity in 130-nm CMOS,2017
Yi-Yang Tsai and Yu-Shin Tsai and Chien-Wu Tsai and Chien-Hung Tsai,Digital Noninverting-Buck–Boost Converter With Enhanced Duty-Cycle-Overlap Control,2017
Rajiv Damodaran Prabha and Gabriel A. Rincón-Mora,Drawing the Most Power From Low-Cost Single-Well 1-mm2 CMOS Photovoltaic Cells,2017
Satyajit Hemant Chincholkar and Chok-You Chan,Design of Fixed-Frequency Pulsewidth-Modulation-Based Sliding-Mode Controllers for the Quadratic Boost Converter,2017
Nunzio Greco and Nunzio Spina and Vincenzo Fiore and Egidio Ragonese and Giuseppe Palmisano,A Galvanically Isolated DC–DC Converter Based on Current-Reuse Hybrid-Coupled Oscillators,2017
Marco Lanuzza and Felice Crupi and Sandro Rao and Raffaele De Rose and Sebastiano Strangio and Giuseppe Iannaccone,An Ultralow-Voltage Energy-Efficient Level Shifter,2017
Gian Domenico Licciardo and Carmine Cappetta and Luigi Di Benedetto and Mario Vigliar,Weighted Partitioning for Fast Multiplierless Multiple-Constant Convolution Circuit,2017
Tao Luo and Hao Liang and Wei Zhang and Bingsheng He and Douglas Maskell,A Hybrid Logic Block Architecture in FPGA for Holistic Efficiency,2017
Tianqiong Luo and Borja Peleato,Multipage Read for nand Flash,2017
Shiping Wen and Tingwen Huang and Xinghuo Yu and Michael Z. Q. Chen and Zhigang Zeng,Sliding-Mode Control of Memristive Chua's Systems via the Event-Based Method,2017
Dianfeng Zhang and Xi-Ming Sun and Zhaojing Wu and Wei Wang,Dissipativity for a Class of Stochastic Nonlinear Systems With State-Dependent Switching,2017
Sheng Zhang and Jiashu Zhang and Hongyu Han,Robust Shrinkage Normalized Sign Algorithm in an Impulsive Noise Environment,2017
Li Du and Yan Zhang and Chun-Chen Liu and Adrian Tang and Frank Hsiao and Mau-Chung Frank Chang,A 2.3-mW 11-cm Range Bootstrapped and Correlated-Double-Sampling Three-Dimensional Touch Sensing Circuit for Mobile Devices,2017
Peng Chen and Kai Yang and Tianliang Zhang,Analysis of a Class-E Power Amplifier With Shunt Filter for Any Duty Ratio,2017
Hyunuk Kang and Hwiseob Lee and Hansik Oh and Wooseok Lee and Cheon Seok Park and Keum Cheol Hwang and Kang Yoon Lee and Youngoo Yang,Symmetric Three-Way Doherty Power Amplifier for High Efficiency and Linearity,2017
Marcello De Matteis and Andrea Baschirotto,A Biquadratic Cell Based on the Flipped-Source-Follower Circuit,2017
Aboozar Ghorbani-Nejad and Abdolreza Nabavi,A Technique for Enhancing Varactor’s Quality Factor in Millimeter-Wave Frequencies,2017
Pei Qin and Quan Xue,A Low-Voltage Folded-Switching Mixer Using Area-Efficient CCG Transconductor,2017
Chuan Qin and Lei Zhang and Chunyuan Zhou and Li Zhang and Yan Wang and Zhiping Yu,Dual AC Boosting Compensation Scheme for Multistage Amplifiers,2017
Shahbaz Abbasi and Arman Galioglu and Atia Shafique and Omer Ceylan and Melik Yazici and Yasar Gurbuz,A PFM-Based Digital Pixel With an Off-Pixel Residue Measurement for Small Pitch FPAs,2017
Nashiru Alhassan and Zekun Zhou and Edgar Sánchez-Sinencio,An All-MOSFET Voltage Reference With −50-dB PSR at 80 MHz for Low-Power SoC Design,2017
Majid Jalalifar and Gyung-Su Byun,An Energy-Efficient Mobile Memory I/O Interface Using Simultaneous Bidirectional Multilevel Dual-Band Signaling,2017
Hussain Alzaher and Mohamad Sawan,Low-Power Channel Select Filters for DVB-H Receivers,2017
Guixian Cheng and Lin Wang and Weikai Xu and Guanrong Chen,Carrier Index Differential Chaos Shift Keying Modulation,2017
Muhammad Fahim Ul Haque and Muhammad Touqir Pasha and Ted Johansson,Aliasing-Compensated Polar PWM Transmitter,2017
Wen-Jun Zhou and Jian-Xin Chen,High-Selectivity Tunable Balanced Bandpass Filter With Constant Absolute Bandwidth,2017
Chunfeng Bai and Jianhui Wu and Chao Chen and Xiaoying Deng,A 35-dBm OIP3 CMOS Constant Bandwidth PGA With Extended Input Range and Improved Common-Mode Rejection,2017
Mahendra Sakare,A Power and Area Efficient Architecture of a PRBS Generator With Multiple Outputs,2017
Sergio Colangeli and Walter Ciccognani and Mirko Palomba and Ernesto Limiti,Verifying Rollett’s Proviso on Active Devices Under Arbitrary Passive Embeddings,2017
H. Calisto and F. R. Humire,Stochastic Resonance in Simple Electrical Circuits Driven by Quadratic Gaussian Noise,2017
Yao-Ching Hsieh and Zhong-Rong Lin and Ming-Cheng Chen and Hsin-Che Hsieh and Yu-Chen Liu and Huang-Jen Chiu,High-Efficiency Wireless Power Transfer System for Electric Vehicle Applications,2017
